图层代码,中文名称,颜色编号,线型中文名,线宽建议,是否打印,用途说明
BORDER_FRAME,图框边界,7,连续线,0.25,是,幅面边界和内框
TITLE_BLOCK,标题栏,2,连续线,0.18,是,标题栏、签审栏、字段边框
REVISION,修订栏,4,连续线,0.18,是,版本历史、工程变更和修订记录
VIEW_VISIBLE,可见轮廓,7,连续线,0.35,是,零件可见外形和加工轮廓
VIEW_HIDDEN,隐藏线,8,虚线,0.18,是,必要时表达内部不可见轮廓
VIEW_CENTER,中心线,1,中心线,0.18,是,孔中心、对称中心、回转轴线
DIM,尺寸与引线,3,连续线,0.18,是,尺寸线、箭头、尺寸文字和引出线
TEXT_NOTE,技术要求,5,连续线,0.18,是,通用说明、局部说明、工艺要求
DATUM_GDT,基准与几何公差,6,连续线,0.18,是,基准符号、几何公差框、理论正确尺寸
QC_BALLOON,检验气泡,30,连续线,0.18,是,首件检验和关键尺寸编号
LOGO_HUAWEI,华为标志,1,连续线,0.25,是,版权标识和华为标志图块
HATCH_SECTION,剖面线,9,连续线,0.13,是,剖视图和局部剖视图
HOLE_TABLE,孔表,140,连续线,0.18,是,孔坐标表、孔规格表和孔加工说明
KEY_CHARACTERISTIC,关键特性,1,连续线,0.25,是,关键尺寸、关键特性符号和FAI气泡
INSPECTION_METHOD,检验方法,5,连续线,0.18,是,测量方法、量具、测量状态和检验备注
SURFACE_TREATMENT,表面处理,4,连续线,0.18,是,表面处理区域、膜厚、颜色和验证要求
WELD_MACHINING,焊后加工,30,连续线,0.18,是,焊接后加工区域、余量和加工顺序说明
REFERENCE_3D,三维参考,6,中心线,0.13,是,STEP/AP242参考、复杂定位面和辅助解释
SUPPLIER_ACK,供应商确认,2,连续线,0.18,是,供应商签收、偏离确认和首件确认记录
CONSTRUCTION,构造辅助,8,中心线,0.13,否,发布前应关闭或删除
NON_PRINT,非打印信息,253,连续线,0.13,否,内部提示、临时标识，不得作为制造依据
